episode	scene	segment	onset	offset	duration	raw_descriptor	caption_eng	caption_fr	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Phoeb_Rach	loc_coffeeshop	loc_outside	loc_other
s3e25a	1	1	0.0	42.0	42.0		Rachel and Monica complain that Bonnie is constantly talking about sex.	Rachel et Monica se plaignent que Bonnie parle constamment de sexe.	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False
s3e25a	1	2	42.0	91.0	49.0		Phoebe invites the gang to go meet Phoebe Sr, her mother's best friend when they were young.	Phoebe invite la gang à aller rencontrer Phoebe Sr, la meilleure amie de sa mère lorsqu'elles étaient jeunes.	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False
s3e25a	2	3	91.0	98.0	7.0	theme song	theme song	chanson thème	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
s3e25a	3	4	98.0	101.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s3e25a	4	5	101.0	180.0	79.0		Chandler asks Monica if he could be her boyfriend.	Chandler demande à Monica s'il pourrait être son petit ami.	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False
s3e25a	4	6	180.0	188.0	8.0		Joey has brought his belongings in a paper bag.	Joey a apporté ses effets personnels dans un sac en papier.	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False
s3e25a	4	7	188.0	206.0	18.0		Phoebe picks them up in front of the Café with her grandmother's cab.	Phoebe passe les chercher devant le Café avec le taxi de sa grand-mère.	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False
s3e25a	4	8	206.0	248.0	42.0		Rachel puts on the extravagant hat that Ross bought her.	Rachel a mis le chapeau extravagant que Ross lui avait acheté.	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False
s3e25a	5	9	248.0	251.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s3e25a	6	10	251.0	298.0	47.0		Joey and Chandler ask Monica who she would choose between them.	Joey et Chandler demande à Monica qui elle choisirait entre eux.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s3e25a	7	11	298.0	301.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s3e25a	8	12	301.0	311.0	10.0		Phoebe Sr. discusses a house with a person on the phone.	Phoebe Sr discute d'une maison à une personne au téléphone.	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s3e25a	8	13	311.0	411.0	100.0		Phoebe takes a picture on the fridge and puts it in her pocket without Phoebe Sr. knowing.	Phoebe prend une photo sur le frigo et la cahe dans sa poche à l'insu de Phoebe Sr.	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s3e25a	9	14	411.0	413.0	2.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s3e25a	10	15	413.0	481.0	68.0		The gang is bored and looking for something to do.	La gang s'ennuye et cherche quoi faire.	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s3e25a	10	16	481.0	534.0	53.0		Phoebe thinks that Phoebe Sr. knows where her father is.	Phoebe pense que Phoebe Sr sait où se trouve son père.	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s3e25a	10	17	534.0	569.0	35.0		The gang decides to play strip poker.	La gang décide de jouer au Strip Poker.	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s3e25a	10	18	569.0	632.0	63.0		Ross picks Joey to have him remove an item of clothing.	Ross choisit Joey pour lui faire retirer un vêtement.	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s3e25a	10	19	632.0	671.0	39.0		Rachel also picks Joey and he has to take off his boxers.	Rachel choisit aussi Joey et il doit retirer son boxer.	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s3e25a	10	20	671.0	696.0	25.0		Monica wants to know Rachel's intentions towards Ross.	Monica veut connaître les intentions de Rachel envers Ross.	False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s3e25a	10	21	696.0	707.0	11.0		Bonnie arrives at the cabin to join Ross.	Bonnie arrive au chalet rejoindre Ross.	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True
