episode	scene	segment	onset	offset	duration	raw_descriptor	caption_eng	caption_fr	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Phoeb_Rach	loc_coffeeshop	loc_outside	loc_other
s4e08b	1	1	0.0	12.0	12.0	end of previous	end of scene	fin de scène	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e08b	2	2	12.0	16.0	4.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e08b	3	3	16.0	44.0	28.0		The gang is not happy that Monica invited Dr. Burke's son to Thanksgiving dinner.	La gang n'est pas d'accord à ce que Monica ait invité le fils du Dr Burke pour le repas de l'Action de Grâce.	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False
s4e08b	3	4	44.0	85.0	41.0		Joey argues and Monica ends up getting angry at being judged by telling them their love truths.	Joey renchérit et Monica fini par se fâcher d'être jugée en leur disant leurs quatre vérités amoureuses.	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False
s4e08b	3	5	85.0	122.0	37.0		Chandler explains to them why he has to stay in the box for six hours.	Chandler leur explique pourquoi il doit rester dans la boite pendant six heures.	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False
s4e08b	3	6	122.0	175.0	53.0		Ross asks Rachel to show him the necklace he gave her for Christmas.	Ross demande à Rachel de lui montrer le collier qu'il lui a offert à Noël.	False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False
s4e08b	3	7	175.0	210.0	35.0		Tim arrives for the meal and Monica makes the presentations.	Tim arrive pour le repas et Monica fait les présentation.	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s4e08b	3	8	210.0	235.0	25.0		Ross is upset with Rachel for exchanging her gift without telling him.	Ross est fâché contre Rachel parce qu'elle a échangé son cadeau sans lui dire.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s4e08b	3	9	235.0	321.0	86.0		Ross continues to attack Rachel for exchanging her gift and she leaves the table.	Ross continue d'attaquer Rachel sur le fait qu'elle a échangé son cadeau et elle sort de table.	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False
s4e08b	3	10	321.0	372.0	51.0		Chandler makes another joke and Joey asks him to take the situation seriously.	Chandler fait encore une blague et Joey lui demande de prendre la situation au sérieux.	False	False	True	False	True	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False
s4e08b	3	11	372.0	418.0	46.0		Rachel shows Ross that she kept items from their first times and he apologizes.	Rachel montre à Ross qu'elle a conservé des objets de leurs premières fois et il s'excuse.	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s4e08b	3	12	418.0	525.0	107.0		Monica and Tim kiss and both refuse to go any further given the image it conjures up.	Monica et Tim s'embrassent et tous les deux refusent d'aller plus loin vue ce que ça leur évoque comme image.	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False
s4e08b	4	13	525.0	529.0	4.0	transition	transition	transition	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e08b	5	14	529.0	538.0	9.0		Monica is still disgusted about having kissed Tim.	Monica est encore dégoutée d'avoir embrassé Tim.	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False
s4e08b	5	15	538.0	655.0	117.0		Kathy says goodbye to Chandler.	Kathy fait ses aurevoirs à Chandler.	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False
s4e08b	5	16	655.0	696.0	41.0		Joey decides to free Chandler from the box and allows him to catch Kathy before she leaves!	Joey décide de libérer Chandler de la boite et lui permet de rattraper Kathy avant qu'elle ne parte !	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False
s4e08b	5	17	696.0	706.0	10.0		Joey makes it look like he freed him because he needed the box.	Joey fait croire qu'il l'a libéré parce qu'il avait besoin de la boite.	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s4e08b	5	18	706.0	739.0	33.0		They all stand on the balcony to see what Kathy and Chandler are going to do.	Ils sont tous sur le balcon pour voir ce que Kathy et Chandler vont faire.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False
